Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_total (s),GFLOP/s,Accuracy
1,25,14000,3500,310.67621755599976,0.0,310.67621755599976,0.3709585526263413,0.9605714285714285
1,50,28000,7000,1213.6332619190216,0.0,1213.6332619190216,0.37984456628279134,0.964
1,75,42000,10500,2725.3105244636536,0.0,2725.3105244636536,0.3805922263497402,0.9693333333333334
1,100,56000,14000,4962.291343688965,0.0,4962.291343688965,0.3715960777565299,0.9726428571428571
2,25,14000,3500,167.970558859,0.121902925999988,168.092497285,0.3430601195318489,0.9605714285714285
2,50,28000,7000,674.8991949159999,0.2340384420000987,675.133273042,0.34152655942742416,0.964
2,75,42000,10500,1478.8626727820001,0.35354785500010166,1479.2162532769999,0.35068570567434254,0.9693333333333334
2,100,56000,14000,2585.342026795,0.4517041029998836,2585.7937794850004,0.35661973945589176,0.9726428571428571
4,25,14000,3500,86.147896436,0.18900308999999105,86.336938664,0.33444809672636266,0.9605714285714285
4,50,28000,7000,337.55377053,0.3710292899999956,337.924841738,0.34142116030594705,0.964
4,75,42000,10500,762.0245991209999,0.5514585749999128,762.57610753,0.3402882273080336,0.9693333333333334
4,100,56000,14000,1330.978899305,0.736158302999911,1331.715095599,0.34635560356420164,0.9726428571428571
8,25,14000,3500,52.515301585,0.7161456780000001,53.231486671,0.2746335556438945,0.9605714285714285
8,50,28000,7000,208.031414127,4.040297758000051,212.071756311,0.27699662688838633,0.964
8,75,42000,10500,470.378358308,2.683594547000041,473.06201390600006,0.27574268609329017,0.9693333333333334
8,100,56000,14000,831.6780732010001,1.215825534999908,832.893941937,0.27714569786943716,0.9726428571428571
16,25,14000,3500,47.019385686,0.36690353800000136,47.386333624,0.15336721003029058,0.9605714285714285
16,50,28000,7000,188.477120563,0.7367289030000208,189.21390056500002,0.15304206639955723,0.964
16,75,42000,10500,425.7145916019999,1.1458593169998892,426.86050487600005,0.15245211059308944,0.9693333333333334
16,100,56000,14000,765.5201145519999,3.061793039999884,768.5819662879999,0.15054862414352863,0.9726428571428571
32,25,14000,3500,54.322340524000005,0.4603673000000002,54.782811801,0.06667753938915313,0.9605714285714285
32,50,28000,7000,217.035813119,1.010220822999976,218.046114352,0.06645200067553926,0.964
32,75,42000,10500,487.631355058,1.4667575169999623,489.09818036400003,0.06664857717390708,0.9693333333333334
32,100,56000,14000,865.840659962,3.0382419890000847,868.8789841770001,0.06662872127364854,0.9726428571428571
