Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_reduce (s),T_total (s),GFLOP/s,Accuracy
1,25,14000,3500,322.60433077812195,0.0,0.0,322.60433077812195,0.35724256931710036,0.9605714285714285
1,50,28000,7000,1269.1026821136475,0.0,0.0,1269.1026821136475,0.36324247556725153,0.964
1,75,42000,10500,2814.7139599323273,0.0,0.0,2814.7139599323273,0.3685035192794289,0.9693333333333334
1,100,56000,14000,5047.164541959763,0.0,0.0,5047.164541959763,0.3653473122720913,0.9726428571428571
2,25,14000,3500,171.87200539,0.13000431199998397,0.0468287230000044,172.04884955,0.3352727506102208,0.9605714285714285
2,50,28000,7000,655.205354447,0.2502846040000293,0.07319827599997097,655.5288478,0.3517919968687389,0.964
2,75,42000,10500,1454.963601978,0.3733669609999879,0.10824678999961179,1455.445227025,0.3564460301927483,0.9693333333333334
2,100,56000,14000,2577.07962845,0.4920000259999142,0.14238604299953295,2577.7140256760003,0.35776310123352023,0.9726428571428571
4,25,14000,3500,71.232183412,1.0781378579999925,0.04305395499999065,72.35338673,0.4044800905982932,0.9605714285714285
4,50,28000,7000,339.656819762,0.24727176500005044,0.07696830700001556,339.98107187,0.33930718682685396,0.964
4,75,42000,10500,746.5651394920001,0.3575574280001774,0.11446564400011994,747.037173382,0.3473347284557728,0.9693333333333334
4,100,56000,14000,1303.4173383830002,0.47841904500000965,0.15844472999970094,1304.0542124629999,0.3536795057306048,0.9726428571428571
8,25,14000,3500,32.705006274,1.7827142899999953,0.051577298999994525,34.539310769,0.44048302205808043,0.9605714285714285
8,50,28000,7000,179.790267109,0.24323455399999716,0.10181723299999135,180.135329988,0.3205067823002052,0.964
8,75,42000,10500,386.349488782,0.3650008229999173,0.15357553300009386,386.86807725399996,0.3355873471160668,0.9693333333333334
8,100,56000,14000,774.350368333,0.5153093850001369,0.20609471599982498,775.0717832209999,0.2976637055086645,0.9726428571428571
16,25,14000,3500,25.522947751,4.064988499,0.11040215799999942,29.698351977,0.2822166181693407,0.9605714285714285
16,50,28000,7000,108.085052623,11.861091207000008,0.18528070499999671,120.13143644899999,0.26656784912245063,0.964
16,75,42000,10500,259.944684776,9.238142414000038,0.2783258769999861,269.461165887,0.2493876728268664,0.9693333333333334
16,100,56000,14000,447.38334679799993,34.33766713500006,0.3739580259999684,482.09498685799997,0.2576045818979403,0.9726428571428571
32,25,14000,3500,28.19346525,6.162328569000002,0.25963390799999786,34.61546789,0.12788835881038071,0.9605714285714285
32,50,28000,7000,102.280193441,16.18802032699999,0.5064752019999901,118.974728179,0.140848384377666,0.964
32,75,42000,10500,231.10421032600001,35.587102964999985,0.7620758929999738,267.45342062500004,0.1403083394900486,0.9693333333333334
32,100,56000,14000,405.68581155799995,68.75179700000007,1.027766530000008,475.46540198599996,0.14204095474451078,0.9726428571428571
