Processes,Subset_%,N_train,N_test,T_comp (s),T_comm (s),T_total (s),GFLOP/s,Accuracy
1,100,359,90,0.11267614364624023,0.0,0.11267614364624023,0.055056197339133896,0.9777777777777777
1,100,718,180,0.408916711807251,0.0,0.408916711807251,0.060682479545361524,0.9833333333333333
1,100,1077,270,0.9853670597076416,0.0,0.9853670597076416,0.05666079401575009,0.9962962962962963
1,100,1437,360,1.646632432937622,0.0,1.646632432937622,0.060320347160174426,0.9833333333333333
2,25,359,90,0.054562600000281236,0.0017552000008436153,0.056324699999095174,0.0568477308629723,0.9777777777777777
2,50,718,180,0.222339899999497,0.002180400000725058,0.22452780000094208,0.05580212998219424,0.9833333333333333
2,75,1077,270,0.5020815000007133,0.008512400001563947,0.5106059999998251,0.05560021629946601,0.9962962962962963
2,100,1437,360,0.9428551999990304,0.00632699999914621,0.949193299999024,0.052672690355900956,0.9833333333333333
4,25,359,90,0.03565290000005916,0.0007126000000425847,0.036375600000610575,0.04446606026430863,0.9777777777777777
4,50,718,180,0.1400155999999697,0.0006499999981315341,0.14067509999949834,0.04430592019747329,0.9833333333333333
4,75,1077,270,0.31075939999936963,0.0005895000012969831,0.3113596000002872,0.045248227406889455,0.9962962962962963
4,100,1437,360,0.5429669999994076,0.0008433999992121244,0.543820400000186,0.045732724088254156,0.9833333333333333
8,25,359,90,0.036126299999523326,0.0014714000026287977,0.03760789999978442,0.02289567434281711,0.9777777777777777
8,50,718,180,0.08968820000154665,0.011249599998336635,0.100950300000477,0.03535234289399634,0.9833333333333333
8,75,1077,270,0.19195490000129212,0.020298200000979705,0.21226519999981974,0.03662660343628985,0.9962962962962963
8,100,1437,360,0.31672080000134883,0.02426500000183296,0.34099720000085654,0.0392007092680592,0.9833333333333333
